,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R3MM572QSMFBZP,True,"petite, légère bonne éclairage",Belle petite lampe de poche très légère et robuste la pille est durable . Je la porte a la ceinture tout les jour du a mon emploie je ne regrette pas du tout mon achat je la conseil a tous !,canada,"October 26, 2019",karine mcmullen,4.0,0,2020-11-12 11:56:59.221966,2020-11-12 11:56:59.352621,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,"{'product dimensions': '13.92 x 2.54 x 2.54 cm; 90 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'MH12GT', 'is discontinued by manufacturer': 'No', 'color': 'Black', 'size': '1000 Lumen', 'length': '21 centimeters', 'bulb type': 'Led', 'material': 'Aluminum', 'number of items': '1', 'power source': 'Battery', 'included components': 'NITECORE MH12GT flashlight, 1x 400mAh 18650 battery, USB charging cable, holster, pocket clip, tactical ring, lanyard, spare rubber cover, spare O-ring, spare USB port cover, instruction manual and warranty card', 'batteries included?': 'Yes', 'brand': 'Nitecore', 'item weight': '90 g'}","#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
1,R2BWJU10UMT8U2,True,Great,Charge lasts plenty long enough for my usage. Very bright and multiple levels of bright help extend battery if needed.,canada,"July 10, 2020",Glen Ewbank,5.0,0,2020-11-12 11:56:59.358602,2020-11-12 11:56:59.481739,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
2,R2XF1LCN4TMGZA,True,Brightness,Everyone should have this flashlight,canada,"July 31, 2018",Todd Robinson,5.0,0,2020-11-12 11:56:59.486714,2020-11-12 11:56:59.603403,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
3,R24SQG1ULOQ16W,True,EXCELLENT,EXCELLENT.. must buy,canada,"August 27, 2019",chris,5.0,0,2020-11-12 11:56:59.608518,2020-11-12 11:56:59.735657,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
4,R11D3RO3LCJFCF,True,Optimale Lampe!,"Zu Anfang war ich mir nicht sicher ob es noch andere Menschen gibt, die sich so wie ich dermaßen für Taschenlampen begeistern können. Die MH12GT von Nitecore hat jedenfalls das Potenzial, dass man sich in sie verliebt.

Eine Funktionsbeschreibung spare ich mir, denn das kann man diversen Stellen im Internet, nicht zuletzt auf der Produktseite, nachlesen.

Meine erste TL war ebenfalls von Nitecore, und zwar die EA40. Sie wird mit 4 AA Batterien betrieben, darum habe ich mich damals für sie entschieden. Ich wollte schlicht kein Ladegerät für einen extra Akku Kaufen oder CR123 Batterien verwenden, dafür war und ist mir mein Geld zu schade.

Die MH12GT geht - so wie ihre Schwestern aus der MH Serie - einen anderen Weg. Wohl verwendet sie einen Akku, der aber in der TL selbst aufgeladen werden kann. Somit war dieses Kriterium für mich gefallen. Nicht zuletzt, da der Akku austauschbar und handelsüblich ist.

Was mir besonders gefällt ist die ultrakompakte Bauform. Inklusive dem Clip und dem Grip-Ring fällt sie in der Hosentasche kaum auf. Nur die kleine Bauform bringt aber nichts, wenn die Leistung nicht stimmt. Und die ist wahrlich kräftig.

In einem Geschlossenen Raum kann die MH12GT kaum überzeugen, aber auf freiem Feld ist die Leistung atemberaubend. Was bleibt, ist die Einsicht, dass Nitecore wahnsinnig kompakte und gleichzeitig superhelle Lampen bauen kann. Darum freue ich mich besonders über den 1 Lumen Ultra-Low Modus, in den ich mich verliebt habe.

Von mir gibt es für diese TL eine uneingeschränkte Kaufempfehlung! Hut ab!",germany,"July 7, 2017",Markus,5.0,0,2020-11-12 11:56:59.741641,2020-11-12 11:56:59.900099,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
5,R3V13VL6NVHL6K,True,Referenzlampe in TOP Qualität!,"Was soll man sagen? In Qualität, Verarbeitung und Lichtausbeute sucht diese Lampe ihresgleichen. Das hat natürlich seinen Preis - aber der ist angemessen! Lampe lässt sich problemlos bedienen, umfangreiches Zubehör, von Ersatzdichtungen über taktsichen Ring und Nylon Holster - alles dabei, ebenso wie Gürtelclip, Lanyard und Micro-USB-Ladekabel. Das Ladegerät ist bereits in die Lampe integriert, der Akku ist hochwertig und mit 3.400 mAh mehr als ausreichend. Li-Io, deshalb auch kein Memory Effekt!
Auf dem Papier mag es Lampen mit vergleichbaren Werten geben. Aber in puncto Lichtausbeute und Zuverlässigkeit übertrifft sie nach meinen Erfahrungen alle anderen, genauso in punkto Haptik und Verarbeitung! Power und Mode-Schalter sind getrennt, wodurch sich die Lampe auch hervorragned für den taktischen Bereich nutzen lässt.

Unbedingte Kaufempfehlung!",germany,"May 29, 2018",Villi Wonka,5.0,0,2020-11-12 11:56:59.904088,2020-11-12 11:57:00.066989,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
6,R16OK7VDMBLCW3,True,Sehr helle Lampe die 500 Lumen immer schafft - 1000 nur kurzzeitig,"Diese Lampe ist insofern klasse da sie alles schon mit integriert hat was man braucht wenn im Haushalt kein Ladegerät für solche Akkus vorhanden sind denn das Ladegerät ist integriert!

Einfach die Lampe einschalten und per USB an ein beliebes Ladegerät hängen (z.B. vom Smartphone) und schon wird sie geladen.

Zudem hält der Akku wirklich lange wenn man die Taschenlampe auf 500 Lumen einstellt. Bei 1000 wird sie schnell warm, drosselt sich und der Akku wird auch förmlich aufgefressen.

Alles in allem eine super Lampe um auch im Winter (hat sie bei mir überlebt) mit dem Hund im Wald, bei Wind und Wetter, zu gehen.",germany,"April 14, 2018",Fritz Blake,5.0,0,2020-11-12 11:57:00.071975,2020-11-12 11:57:00.236050,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
7,R2TJO147UWODSY,True,Gute Lampe,"Die Lampe lässt sich wunderbar durch die Lichtprogramme schalten und liefert wirklich eine sehr gute und hohe Lichtausbeute ... o.k. ... sollte sie final auch bei dem Preis. Habe mich letztendlich für diese Nitecore entschieden, da ich sie mit Akku oder konventionellen Batterien betreiben kann. Aufladung über usb-Port problemlos. Die Lampe ist sauber verarbeitet und auch die mitgelieferte Tasche ist wertig. Befestigung über Klett horizontal oder vertikal möglich. Bin bislang sehr zufrieden, gerade in Bezug auf Gewicht, Lichtausbeute und Nutzungsdauer mit Batterie oder auch Akku!",germany,"August 20, 2019",Wolf G.,5.0,0,2020-11-12 11:57:00.257990,2020-11-12 11:57:00.390635,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
8,R30MUAB1JWTGIW,True,Gran bel prodotto,"E' un'ottima torcia!
Spesso, anzi spessissimo mi è capitato di acquistare torce diverse da quello che è il marchio principe di questi prodotto, Surefire e, accorgermi subito dopo averle messe in funzione, del fatto che i vari 600, piuttosto che 1000 o 1500 lumen dichiarati, non erano nemmeno paragonabili ai 320 di una Surefire Backup per esempio!
Qui invece il discorso è assai differente. Partiamo quindi nel dire che le caratteristiche del prodotto sono assolutamente veritiere, stiamo parlando di 1000 lumen veri, capaci effettivamente di raggiungere una profondità di illuminazione di 320 metri; non li ho misurati sia ben chiaro, ma credo che tale distanza sia reale.
I materiali con cui è realizzata sono di ottima qualità, l'impermeabilità rispetta i valori assicurati e la possibilità di ricaricarla senza togliere la batteria è molto utile.
Avrei posto maggiore attenzione alla realizzazione del tappino in gomma che sigilla la presa di ricarica, spesso si toglie anche solo tenendo la torcia in tasca.
Per il resto è un ottimo prodotto, soprattutto se messo in relazione al prezzo.
Consigliata a chi cerca un buon prodotto per l'outdoor e per chi pur non spendendo un occhio della testa cerca una buona torcia per l'uso professionale.",italy,"January 14, 2018",fraebasta,5.0,0,2020-11-12 11:57:00.397618,2020-11-12 11:57:00.560182,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
9,RTCZYNIKCS7QR,True,"extrem Hell, super Akku, gutes Handling","Ich nutze die Nitecore LED MH 12 GT 1000 Lumen regelmäßig in Nachtdiensten und muss sagen, dass ich bisher mehr als zufrieden bin. Man kann die Helligkeitsstufe in 3 Stufen wie in der Beschreibung von Amazon regulieren und zusätzlich noch das Stroboskoblicht einschalten.

Beim Ladevorgang muss man aufpassen, dass die Lampe eingeschaltet ist - ansonsten läd die Taschenlampe nicht!
Ich bin mit der Akkulaufzeit zufrieden.

Insgesamt von mir eine klare Kaufempfehlung trotz des gefühlt recht hohen Preises für eine Taschenlampe.",germany,"October 8, 2018",Dome,5.0,0,2020-11-12 11:57:00.566166,2020-11-12 11:57:00.709781,"NITECORE MH12GT Multitask Hybrid 1000 Lumen Long Throw USB Rechargeable Flashlight, Black",4.4,108.53,,Tools & Home Improvement,B071VT7BH6,,"#61,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#593 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/51Xw9ytEztL._AC_SX425_.jpg
