,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R211G0Q0H9JAQF,True,"Satisfied and bought a second one, then a 3rd","Small issue resolved to my total satisfaction. Extremely pleased with how bright the green led is, i am impressed enough that I bought a second one. First one is green led, next is the l18 version, looking forward to receiving it..the l18 arrived as described, such a bright light from such a small package. No issues recommending E10,l17,l18 as i have them and can say 1st hand they are worth every penny, Rest assured if you have a problem, this seller will fix the issue.",canada,"October 16, 2020",Paul,5.0,0,2020-11-12 15:31:48.162515,2020-11-12 15:31:48.286023,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,"{'manufacturer': 'Zenbon', 'part number': 'L17', 'product dimensions': '14.05 x 4 x 2.54 cm; 272 Grams', 'batteries': '1 Lithium ion batteries required. (included)', 'item model number': 'L17', 'colour': 'White', 'style': 'L17-White, With Battery', 'material': 'Aluminum', 'power source': 'Battery-powered', 'type of bulb': 'LED', 'brightness': '1400', 'batteries included?': 'Yes', 'batteries required?': 'Yes', 'battery cell type': 'Lithium Ion', 'battery description': '18650', 'item weight': '272 g'}","#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
1,RDZHDU9JVY7W2,True,"Perfect Long Range Torch, Great Quality","I have been using this flashlight for over a week now and it is great for long range, I have quite a collection of torches and most of them are a short to mid range flood type torches and needed a more dedicated long range thrower for looking at gates and fences and livestock around the farm.

This torch can easily see over two 10 acres fields with ease, to check on various things, in fact this light illuminates further than I can see without binoculars so I am very impressed, it is kept simple with on/off switch and a few brightness levels with a turbo mode and a moonlight for when your not trying to disturb people (or animals),

the machining and coating on this torch are such high quality, it feels great in the hand and is a perfect size for carrying around, it comes with a holster as well which is nice, it also comes with a battery and charging cable for the battery and also a lanyard and some spare o rings etc.

overall if you are looking for a bright well made torch that throws a great amount of light far, you cannot go wrong with this, truly great quality, with a nice run time and great beam, would certainly recommend to friends and family!",the united kingdom,"September 22, 2020",L&L,5.0,0,2020-11-12 15:31:48.291011,2020-11-12 15:31:48.428289,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
2,RKUJ6QP9EQ2AL,True,Amazing ultra thrower torch from a tiny light!,"Your browser does not support HTML5 video.
 First off, the seller was awesome, full tracking and delivery in 7 days from shipping from China to UK is great to see.

Now the torch itself:
From the flawless matte anodisation to the well balanced feel in the hand I'm super impressed with this light, with the unique optics on the head it just looks amazing, I've spent ages just looking at it all over, It's genuinely one of the best looking lights I own.
The box comes with everything you could need. As well as the spare O rings, USB charging cable and extra rubber button you also get a sturdy well made holster that has a plastic D Ring and velcro straps and a stud snap for extra security. There's a nice usable lanyard and protected cell with built in micro USB charging so you don't need to buy anything else.
The beam is very tight with next to no spill, this is thanks to the unique set up of the optics, you can see the centre has a funnel shape which is covered by a diffuser, It's a very clever design and gives the beam a smooth and clean line so all the candela is directed to the centre spot. This is how Acebeam have managed to get a throw over 800m from such a small package.
The quick access to Turbo through the double click is excellent, let's be honest most times you use this light it will be to light up that ""something way over there"" and will use turbo to do so!

I have quite a few torches for different occasions and highly recommend this one for anyone trying to light up something at the other end of a field!",the united kingdom,"September 16, 2020",Brian Duncan,5.0,0,2020-11-12 15:31:48.434274,2020-11-12 15:31:48.571491,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
3,R2XJWC8R6AR8F6,True,klein weit gut,"Die Lieferung der L17 (weiß) dauerte nur 2 Tage. Die Lampe liegt gut in der Hand und lässt sich einfach bedienen. Es gibt einen Schalter am Ende der Lampe. Dieser Schalter ist Geräuschlos, das heißt man hört ihn nicht beim betätigen. Auch ist beim schalten kein einrasten zu spüren. Das ist ungewohnt, aber man kommt schnell damit klar. Man kann trotz des Schalter die L17 auf eine ebene Fläche stellen und sie an die Decke strahlen lassen. Dadurch wird der ganze Raum erhellt.Die Lampe lässt sich so einstellen das der Schalter nicht reagiert. Das ist zum Transport gut zu gebrauchen.Dazu einfach den Schalter so lange gedrückt halten bis es 3x blinkt. Zum wieder einschalten macht man das selbe.Ich habe die L17 mit einer Nitecore P30 verglichen. Mein Eindruck (meine Wahrnehmung ohne mit Geräten gemessen zu haben) ist das beide Lampen in etwa gleich stark und weit leuchten. Die Bedienung der L17 ist aber viel einfacher/verständlicher als die der P30. Die P30 ist dazu noch einen 1cm breiter am Lampenkopf. Der Akku kann mit USB aufgeladen werden, muss aber dazu aus der Lampe genommen werden. Am Akku ist eine Led verbaut die den Ladezustand anzeigt. Die Halteklammer ist echt ihren Namen wert. Die Lampe kann mit ihr an Taschen,Gürteln usw. befestigt werden. Die Klammer ist so straff wie ich sie bei keiner anderen Lampe erlebt habe. Da geht die Lampe garantiert nicht verloren. Ein Holster und Befestigungsband sind im Lieferumfang. Weiter sind eine Garantiekarte, Akku, Warnhinweise für den Akku, 2 Dichtringe und eine Schalterersatzkappe sowie ein Ladekabel mit dabei. Die Bedienungsanleitung ist nur in englisch und chinesisch enthalten. Aber die Lampe ist eigentlich simpel aufgebaut und sollt von jeden ohne Anleitung bedient werden können. Die Lampe macht einen sehr guten Qualitätseindruck und liegt gut in der Hand. Wenn die Spannung am Akku nachlässt dann blink die Lampe schnell, somit weiß man über den Ladezustand des Akkus bescheid und die Lampe regelt runter, das selbe wenn sie zu heiß wird. Man kann die Lampe auch mit 2 CR123 betreiben, dabei wird aber nicht die volle Leistung erreicht. Andere 18650 Akkus als der mit gelieferte funktionieren genau wie der originale. Die Lampe ist auf weites strahlen ausgelegt und das kann sie sehr gut. Die Lampe hat eine Größe mit der sie gerade noch in Hosen/Jacken Taschen passt und wenn nicht dann einfach die Halteklammer benutzen. Die L17 ist ihr Geld wert und ich kann sie voll und ganz weiter empfehlen.",germany,"September 2, 2020",Schaffer,5.0,0,2020-11-12 15:31:48.576481,2020-11-12 15:31:48.732158,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
4,R2XCV4V7Q101SZ,True,Ottimo prodotto ma scalda troppo,"Sembra un ottimo prodotto con un ottimo rapporto qualità prezzo.Ottima luminosità sul lungo tratto.Aggiornerò in caso di sviluppi negativi.

Aggiornamento al 14/10/20
Ho caricato e provato il prodotto senza però utilizzarlo realmente onde evitare di rovinarlo nel caso avessi dovuto renderlo.Avendola acquista per utilizzarla in condizioni di emergenza ho provato a simularne una lasciandola accesa alla massima potenza per qualche minuto,non molti.Scalda veramente tanto,troppo secondo me.Non so se è la mia in particolare o sono tutte così ma il calore è importante.Tolgo solo una stella perché la fattura è ottima ma avendone ancora la possibilità effettuerò il reso.",italy,"October 2, 2020",Melo74,4.0,0,2020-11-12 15:31:48.737143,2020-11-12 15:31:48.875967,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
5,R14X7S8VCK10N5,True,"Torcia piccola, bella, ben fatta e potente","Articolo conforme alla descrizione arrivato ben imballato e secondo i tempi previsti. Ad una prima rapida prova la torcia risulta molto bella, ben fatta, leggera, solida e con un fascio stretto che illumina a grande distanza con uno spot sufficientemente ampio ma senza corona e spill. La distanza massima dichiarata secondo parametri ANSI e’ 802m, il che significa che bisogna aspettarsi di illuminare decentemente fino a un massimo di circa 400m, e bene entro i primi 200-300m. Del resto, oltre queste distanze, sarebbe comunque difficile distinguere cio’ che si vede senza l’ausilio di un binocolo. Non adatta se si cerca una torcia per illuminare nelle vicinanze durante una passeggiata notturna, o per illuminare il campo di lavoro (es. sostituzione di una ruota, lavori all’impianto elettrico di casa, etc.), ma io l’ho presa proprio per affiancare una torcia che utilizzo per le mie passeggiate allo scopo di illuminare a distanza in spazi aperti per avvistare eventuali animali, pericoli e ostacoli.
In attesa di una prova più approfondita sul campo mi sentirei di consigliarla a chi ha specifiche esigenze di illuminazione a distanza.",italy,"September 16, 2020",Cliente Amazon,5.0,0,2020-11-12 15:31:48.880953,2020-11-12 15:31:49.022555,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
6,R2F1P42ZTC2E40,True,"Bella, compatta. Diminuita in un giorno di 20euro","Cercavo una nuova t.tattica a lunga gittata, compatta x il lavoro notturno. Ho avuto un paio d'anni la Klarus x12gt. 1600 lumens. Si ruppe cadendo da 60 cm.. Ho avuto poi un ottima Nitecore P30 618 metri di affondo ma purtroppo solo 1000 lumens. Ho avuto due Acebeam L16. Ottime ed indimenticabili ma nn ero più convinto di ricomprarla...ecco che arriva la L17. Compattissima, nuovo led , lente sul centro del focus luce x concentrare la luce. Mi piace molto! Stanotte confrontata con Acebeam warrior x pro da 2250 lumens nn è sfigurata x nulla, risultando con la sua luce bianchissima - più penetrante ed incisiva. Torcia perfetta. Unica perplessità il tasto di accensione che è gestito elettronicamente.",italy,"September 12, 2020",simon,5.0,0,2020-11-12 15:31:49.028539,2020-11-12 15:31:49.164177,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
7,R1RWPQNMTPJ3HP,True,Beeindruckender Thrower mit kleiner Bauform,"Getestet wurde die Version mit weißer LED.

Die mit 1400 Lumen und 802m Reichweite angegebene Lampe ist ein Thrower mit hoher Fokussierleistung bei kompakter Bauform. Im Vergleich zur Fenix TK61, die diesbezüglich eine ähnliche Spezifikation besitzt, lässt sich die Acebeam L17 einfach in einer Hosentasche verstauen (siehe Bilder). Acebeam erreicht diese beeindruckende Fokussierung durch eine Linsenoptik (siehe Bilder). Diese erzeugt Schattierungen im Nahfeld (siehe Bilder), was allerdings im normalen Betrieb nicht wahrzunehmen ist. Throwertypisch besitzt diese Lampe einen kleinen, hart definierten Spot. Der Spill scheint bei dieser Lampe nach außen hin nicht abgegrenzt zu sein (siehe Bilder).
Die Bedienung der Lampe ist mit etwas Übung recht einfach: ein Druck auf den Taster (mit gewöhnungsbedürftigem Druckpunkt) schaltet die Lampe ein bzw. aus. Langer Druck des Tasters schaltet die Stufen durch (50/150/370 Lumen). Die Stufen sind dabei ausgewogen und allesamt brauchbar. Eventuell wäre noch eine Stufe nach oben wünschenswert, diese habe ich bislang jedoch noch nicht vermisst. Drückt man den Taster doppelt, erreicht man den Turbo-Modus mit 1400 Lumen. Vorteilhaft ist, das man in ausgeschaltetem Zustand den Ultra-Low-Modus (15 Lumen), den Turbo-Modus sowie den Strobe-Modus direkt erreichen kann. Ein Sperren der Lampe schützt vor unbeabsichtigten Einschalten.
Durch die Bedienung über nur einen Schalter und der kompakten Bauform ist eine einhändige Bedienung ohne Weiteres möglich, auch im Zigarrengriff.
Wer seine Lampe gerne mit dem Mund hält, um mit beiden Händen arbeiten zu können, wird mit dieser Lampe jedoch weniger Freude haben.
Wer die Lampe versehentlich fallen lässt, braucht sich keine Sorgen zu machen: Die Lampe ist robust verarbeitet, stoßfest und wasserdicht (siehe Bilder). Der Akku ist doppelt gefedert gelagert.
Mitgeliefert wird ein per Mikro-USB ohne Ladegerät direkt aufladbarer 18650 Akku mit Button-Top. Selbstverständlich können andere 18650 Akkus, auch mit Flat Top, genutzt werden. Die Lampe ist vor Verpolung geschützt.
Des Weiteren wird ein Lanyard, ein Gürtelclip, ein Holster, sowie Ersatz-O-Ringe und eine Ersatz-Gummikappe für den Taster mitgeliefert. Die Lampe ist damit vollständig ausgestattet.
Der vormontierte taktile Ring am Ende der Lampe verhindert effektiv ein Wegrollen der Lampe.

Pros:
+ robust verarbeitete Lampe
+ Kein separates Ladegerät erforderlich
+ einfaches, durchdachtem Bedienkonzept mit einer Hand
+ umfangreicher Lieferumfang, inkl. Akku
+ Fokussierleistung bei einer Bauform, die seinesgleichen sucht

Cons:
- Aufladen des Akkus über Mikro-USB statt USB-C
- Kein Ladegerät in die Lampe selbst integriert
- Keine Akkustandanzeige
- gewöhnungsbedürftiger Druckpunkt des Tasters
- SOS-Modus fehlt

Wer auf der Suche nach einer Taschenlampe für die Wohnung ist, sucht sich lieber eine andere Lampe.
Wer allerdings bei Waldspaziergängen lieber eine fokussierendere Lampe einsetzt, um etwas weiter sehen zu können (siehe Bilder, Vergleich mit Flooder-Lampe), bei dem Erkunden der Umgebung im Campingurlaub weiter sehen will als seine Freunde oder einfach nur auf der Suche nach einer Taschenlampe ist, mit der man etwas weiter sieht, ist mit der Acebeam L17 definitiv gut beraten.",germany,"September 9, 2020",Fabian Diener,5.0,0,2020-11-12 15:31:49.169164,2020-11-12 15:31:49.306795,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
8,R383S63M6STG93,True,Klare Kaufempfehlung,"Lieferumfang: Die Acebeam L17 wird mit einem 18650er Li-on Akku sowie einem Lanyard, einem Holster, ersatz Oringen, einem Micro-USB Ladekabel, Artikelbeschreibung und Garantie Karte geliefert. Außerdem ist ein Sicherheitshinweis für den Umgang mit Li-ion Akkus dabei.

In der Lampe wurde eine OSRAM-Weißlicht-LED verbaut, welche auf ca. 1400lm kommem soll laut Hersteller. In verbindung mit einer TIR Optik kommt sie auf gut 160.000lx was ca.800 Meter Reichweite entspricht.

Dem Nutzer ist es ermöglicht 5 verschiedene Leuchtstufen zu verwenden. Außerdem verfügt die Lampe über einen elektronischen Lock-out. Auch das ist eine super sache und immer gut zu gebrauchen.

Der Mitgelieferte 18650 Akku macht einen guten und voralem hochwertigen Eindruck. Was sehr erwähnenswert ist, ist die integrierte Micro-USB Buchse an der Oberseite (+ Pol) des Akkus. Diese ermöglicht ein schnelles und einfaches Aufladen ohne den Akku in ein Ladegerät stecken zu müssen. Es besteht außerdem die Möglichkeit 2x CR123A Batterien für den Betrieb zu verwenden.

Die Reichweite und Umsetzung der Lampe durch die TIR Optik ist einfach klasse und in dieser Größe bestimmt selten. Die Lampe sorgt für gute Sicht in der Ferne, dennoch erzeugt sie einen ausreichenden Spill um damit z.B. durch dunkle Wälder zu finden.
Ich nutze sie sehr gerne, im allgemeinen eine Tolle Lampe für einen guten Preis. Ganz klare Kaufempfehlung.",germany,"September 4, 2020",Heike N.,5.0,0,2020-11-12 15:31:49.311781,2020-11-12 15:31:49.489100,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
9,R28E25DW5WO94H,True,Taschen-Thrower,"Die Acebeam L17 ist ein Lampe mit viel Reichweite in einem kompakten Format für einen angemessenen Preis.
Der Lieferumfang umfasst weiteres sinnvolles Zubehör, wie das Lanyard und ein Trageholster. Gerde der Holster wird bei mir zum Einsatz kommen. So kann man die Lampe schnell mal zücken wenn man in der Ferne etwas sehen will.
Die Verarbeitung ist, wie gewohnt von Acebeam, makellos. Der hintere Schalter ist kein gewöhnlicher ""Clicky"" sondern ein elektronischer Taster der vollkommen geräuschlos arbeitet. Er lässt sich gut bedienen und geht auch nicht zu leicht um versehentliches Einschalten der Lampe zu vermeiden.
Der Beam ist dank der Linse etwas anders als bei einem Reflektor. Es ist deutlich konzentrierter aber es ist noch Licht im Spill vorhanden.
Für meinen Zweck, nämlich die Lampe als Ergänzung zu einer Lampe mit wenig Reichweite aber viel Lumen zu Nutzen, ist die Lampe perfekt.

Fazit:
++ Super Reichtweite
++ Kompakt genug für die Jackentasche
++ Akku im Lieferumfang mit Micro-USB Anschluss (Kein externes Ladegerät nötig)
+ Taktischer-Ring und Schalter am Ende der Lampe ermöglichen eine gute Einhandbedienbarkeit (Zigarrengriff)
+ Perfekte Ergänzung wenn man schon eine flutige Lampe oder eine Kopflampe besitzt.

o Aufladung des Akkus geht nur wenn man diesen entnimmt, dafür hat man aber auch keinen Anschluss an der Lampe der wiederum eine Schwachstelle für eindringende Feuchtigkeit sein könnte. (Persönliche Präferenz)

- Bisher habe ich nichts Negatives über diese Lampe zu berichten.

Ich bin sehr zufrieden mit der Lampe und kann sie jedem wärmstens empfehlen, der eine kompakte Lampe sucht die eine super Reichweite hat.",germany,"August 29, 2020",pilgerer,5.0,0,2020-11-12 15:31:49.494087,2020-11-12 15:31:49.613797,ACEBEAM L17 1400 Lumens 802m Long Range Throw Hunting Tactical Recharging Flashlight Within Battery - White,4.7,90.00,,Tools & Home Improvement,B08DCSF6ZX,,"#84,334 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#794 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/61Iiip4OfxL._AC_SY355_.jpg
