,author_id,verified_purchase,review_title,reviews,country,date,reviewer_name,ratings,people_find_helpful,start_time,end_time,product_name,average_rating,price,total_reviews,product_category,product_id,meta_data,rank,product_image_url
0,R126EBOXC1XCEM,True,Good quality AA batt flashlight from Nitecore.,"This is the 3rd Nitecore flashlight I've purchased and (fingers crossed) have yet to have any issue with any of them. The other 2 Nitecore lights I have utilize the 18650 rechargeable lithium batteries, however this MT20A uses 2 AA batteries. This is nice because it's much easier to find AA batteries in a pinch instead of waiting to charge up a depleted 18650 or try to find one in a store (not likely). Construction is good, as is to be expected from Nitecore, and the light is plenty bright for day to day tasks. I don't have any fancy lumen measuring equipment but I don't have to measure to know that it won't be anywhere near as bright as my other 18650 powered lights. That's just a limitation of how powerful AA batteries are. It's not a blinder by any means, but it does the job well. Good for keeping in the car or bag. The size is nice, not too small and not too bulky.",the united states,"January 22, 2018",Brent,4.0,0,2020-11-12 14:56:33.901293,2020-11-12 14:56:34.223550,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,"{'manufacturer': 'NITECORE', 'part number': 'MT20A', 'product dimensions': '15.24 x 2.54 x 2.54 cm; 75.12 Grams', 'batteries': '1 Lithium Metal batteries required.', 'manufacturer reference': 'MT20A', 'is discontinued by manufacturer': 'No', 'colour': 'Black', 'finish': 'HAIII Hard Anodized', 'material': 'Aluminum', 'power source': 'Battery-powered', 'item package quantity': '1', 'type of bulb': 'Led', 'brightness': '360', 'cutting diameter': '0.85 Inches', 'included components': 'Holster, Lanyard, Pocket Clip, Spare O-Ring, Spare Switch Cover', 'batteries included?': 'No', 'batteries required?': 'Yes', 'battery cell type': 'Alkaline', 'battery description': 'AA', 'assembled diameter': '0.85 Inches', 'item weight': '75 g'}","#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
1,R2LVM85YYD4B7C,True,Only decent quality red-light on the market,"I needed a source of red-light that was diffused and would not blind everyone - the other $5 red-led on amazon is a decent design, but uses 3xAAAs and is WAAAY too bright even on the lowest setting. This uses AAs and is just right for night adapted eyes. The beam is hemispherical in shape on RED due to the offset location of the LED. Red takes 20mA for those wondering, for reference the lowest white takes 6mA and is really dim on that setting, with 4 more above it. The feature I love the most - you can turn this on directly to RED. Most of my lights turn on were they were last used, which makes me cover the light to figure out what setting it is on, then hit the switch a bunch of times to get what I want. Pressing the (down arrow) and turning it on gets me right to low RED out, perfect for my needs.",the united states,"May 12, 2019",HMMWV,4.0,0,2020-11-12 14:56:34.230107,2020-11-12 14:56:34.458105,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
2,R2VX3CX43B694F,True,This product would be better if the button that switches the modes was more ...,"""good"" for the home environment....Didn't survive more than a 2 weeks in the field (sleeping outside in sleeping bags only). This product would be better if the button that switches the modes was more reliable. During the deployed training phase I had several issues with being unable to change the light to red lens causing issues with light discipline. Thanks for the product that uses AA batteries, but I am unable to use a product in the field that is inconsistent in performance.",the united states,"August 15, 2018",Jordan F.,3.0,0,2020-11-12 14:56:34.465526,2020-11-12 14:56:34.717640,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
3,R277P83D4RO7W0,True,Amazing Until it Failed,"I instantly fell in love with this flashlight for use in aircraft cockpit (charter jets) on red mode, and various levels of white for preflights, cabin clean-up, etc. Unfortunately, within a few months, the button for adjusting the settings failed, leaving me to try a million times to change the setting one step up or down, before failing completely.

I was able to set up a warranty repair with the company, but accidentally left the return on the roof of my car and lost it along the way to USPS. I would have loved to get the replacement and to see if mine was just a one-off fluke. However, since I can’t get it repaired/replaced now, I will look elsewhere for a similar item, as I’m unwilling to pay another $40 to see if the identical replacement would continue to function properly.",the united states,"February 18, 2020",Jacki,3.0,0,2020-11-12 14:56:34.724230,2020-11-12 14:56:34.952260,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
4,RLETHFJEOOLVU,True,Great flashlight,"Great flashlight, lots of settings, a function to check battery level, not a power hog, all around a good flashlight. I used to carry a mag-lite 2xAA and have had a few variants over the years, but always ended up unusable due to the head O-ring (they can be ordered, but are pretty costly for what they are worth). I replaced the head O-ring in a few of them but, I would only get about a year out of them. This flashlight has multiple settings, easy controls and is sealed well. I suspect the cover for the switch is likely to be the part to fail, but I have seen no issue yet. If you want a flashlight with useful features and of fair build, I don't think you can go wrong with this.",the united states,"May 11, 2019",Rudy,5.0,0,2020-11-12 14:56:34.962312,2020-11-12 14:56:35.167725,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
5,R356BS2X4M3O8H,True,"NICE LIGHT, CLIP NEEDS IMPROVEMENT","Was looking for a light to replace my 4 Sevens Quark AA Squared. This one was somewhat close with more power and features, only a little larger at the head end,and had the very low level for moving around the house at night. All the functions worked great including the battery level test which was a big plus. Don't know about battery life yet, haven't used it that much. The clip was flared out on ends that clipped on the light and they dug into my hand with a full grip on the light. Cut those off with Dremel tool and much improved but also there isn't enough tension on the clip to keep it from moving around the light relatively easy. The clip also is tricky to get to clip on my pocket the way it sets, also has some type of detent to keep it from clipping on fully which makes it near impossible to use on a hat. I am looking for an aftermarket clip for replacement. Light was too long for pouch to close and secure light. Very usable light as is though.",the united states,"July 29, 2019",crewchief,4.0,0,2020-11-12 14:56:35.174884,2020-11-12 14:56:35.364548,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
6,RAMK59NJJNUZL,True,Tiny but powerful flash with Nitecore quality!,"This is a great flashlight, as one would expect from Nitecore. Sometimes one just needs a tiny light that is easy to carry around and uses standard batteries. I particularly like the up and down feature where you can adjust brightness in both directions without cycling through all settings!

I have not experienced any problems with this light. It has met or exceeded my expectations in every area.",the united states,"February 22, 2018",Neil F. Sambol,5.0,0,2020-11-12 14:56:35.370707,2020-11-12 14:56:35.548678,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
7,R1LTFFAUOH5K8B,True,Red Blinking Beacon And Steady Red Beacon...,Love this flashlight Over My Fenix pD35 Only Because Of The Red Beacon And Strobe On Beacon....Also Love The Strobe On The White light Cause It Blinks Every Couple Seconds Over My Fenixs All in One Strobe And Sos....And the Fact It Has 2 AA Batteries That Last A Very Long Time For there Size Versas Say The 123s Or the 18650...I'm Very Satisfied Having This Light In My Small Collection!!!!,the united states,"January 19, 2018",EDR Jr,5.0,0,2020-11-12 14:56:35.555353,2020-11-12 14:56:35.761314,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
8,R1FDC3SNFYPBXD,True,Excellent flashlight and great manufacturer support,"When you go for a walk in Florida after dark you have to be concerned with black bears. This flashlight gives me the confidence that I'll be able to see them and keep my distance. The brightness levels are very good. I love the strobe feature for the additional security option. And of course it's great that it takes standard AA batteries. I would definitely recommend this flashlight.

Support from the manufacturer is also excellent. The first time I changed the batteries the light stopped working. I could not get it to work again. I finally messaged the manufacturer via amazon and received a quick reply. I followed the instructions and the flashlight is once again working perfectly. In case anyone has a similar issue, here are the instructions I was given. Thank you to Jonathan for the great support!

----
Do you notice any battery leak or corrosion on the tube and tail cap of the light? If that's the cause, try clean them up and test with new batteries again with the steps below.

1. Remove the pocket clip if it is installed. (important step)

2. Unscrew and remove the tail cap, Unscrew and remove the head from the body tube. Basically take the light apart into three sections: head, a middle tube, and tail cap.

3. Use a clean cloth to wipe clean both ends of the threads on the body tube

4. Fully tighten the head to the body tube

5. Install the battery with positive button end towards the front of the light

6. Fully tighten the head of the light and the tail cap

7. Press the power button on the back to turn on the light. Point the light to your palm in case it is set to the dimmest mode.

If it still doesn't work, another common issue is a loose plate in the tail cap. I attached an image to show you how to tighten the plate. The instructions say to use a small screwdriver, but I find that a small pair of needle nosed pliers works better to grab both dents at the same time.",the united states,"December 13, 2019",Bryan L.,5.0,0,2020-11-12 14:56:35.767189,2020-11-12 14:56:36.033956,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
9,R3VQ974NNK0OQK,True,Perfect secondary for patrol,"Looking for this range of brightness (so I know I won’t blind myself bringing it up in pitch black but still tactically bright enough to blind) and able to use AA (supplied for free and no need to risk missing a recharge before a shift). Absolutely perfect for most work. Used not only as backup but alternate spare battery holder for my duty camera. I thought about buying for the whole squad as a gift because they’re inexpensive enough. The red light is not useful for me as I have another reading light but the option has been used as a backup to great effect. It hasn’t failed despite getting thrown down and dropped mid fight. The Clip is sturdy despite how thin it looks. Only slight heat buildup unlike my previous pd35 tac, which was not only too bright but also felt like a tool left in a hot car in summer after only a few minutes. Just FYI I work more urban/suburban but I don’t imagine it’s enough of a spotlight for forested or high grass (I use primary issued 800 lumen stream light for those situations) but traffic stops and most encounters it works perfect",the united states,"July 11, 2019",Shaun McGonigle,5.0,0,2020-11-12 14:56:36.040869,2020-11-12 14:56:36.310105,NITECORE MT20A 360 Lumens 2x AA White/Red LED Flashlight Penlight with a Keychain Light,4.5,,,Tools & Home Improvement,B077Y63ZHB,,"#429,744 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)
#3,791 in Handheld Flashlights",https://images-na.ssl-images-amazon.com/images/I/71TJhcrr4IL._AC_SY355_.jpg
